Date	Action	AssemblyFileName	AssemblyTitle	AssemblyDescription	AssemblyVersion	FileDateLocal	FileDateUTC	FileSize
2020-10-11 20:49:21	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Debug\FixCSV.exe	FixCSV	FixCSV	1.1.1.0	2020-10-11 20:49:21	2020-10-12 01:49:21	28160
2020-10-11 22:12:27	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Debug\FixCSV.exe	FixCSV	FixCSV	1.1.2.0	2020-10-11 22:12:26	2020-10-12 03:12:26	28160
2020-10-11 23:15:05	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Debug\FixCSV.exe	FixCSV	FixCSV	1.1.3.0	2020-10-11 23:15:05	2020-10-12 04:15:05	28672
2020-10-12 00:36:53	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Debug\FixCSV.exe	FixCSV	FixCSV	1.1.4.0	2020-10-12 00:36:53	2020-10-12 05:36:53	28160
2020-10-12 01:06:10	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Debug\FixCSV.exe	FixCSV	FixCSV	1.1.5.0	2020-10-12 01:06:10	2020-10-12 06:06:10	28160
2020-10-12 01:24:36	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Release\FixCSV.exe	FixCSV	FixCSV	1.1.6.0	2020-10-12 01:24:36	2020-10-12 06:24:36	27648
01/02/2021 17:17:38	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Debug\FixCSV.exe	FixCSV	FixCSV	1.2.7.0	01/02/2021 17:17:38	01/02/2021 23:17:38	28672
01/02/2021 17:38:39	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Debug\FixCSV.exe	FixCSV	FixCSV	1.2.8.0	01/02/2021 17:38:38	01/02/2021 23:38:38	28672
01/02/2021 17:47:29	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Release\FixCSV.exe	FixCSV	FixCSV	1.2.9.0	01/02/2021 17:47:29	01/02/2021 23:47:29	28160
05/02/2021 15:24:30	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Debug\FixCSV.exe	FixCSV	FixCSV	1.2.10.0	05/02/2021 15:24:30	05/02/2021 20:24:30	28672
05/02/2021 15:29:34	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Release\FixCSV.exe	FixCSV	FixCSV	1.2.11.0	05/02/2021 15:29:34	05/02/2021 20:29:34	28160
05/02/2021 15:51:44	Post-Build - Record Assembly Info	D:\Source_Code\Visual_Studio\Projects\Console_Apps\FixCSV\FixCSV\bin\Release\FixCSV.exe	FixCSV	FixCSV	1.2.12.0	05/02/2021 15:51:43	05/02/2021 20:51:43	28160
